URL,User Name,User Location,Friend Count,Review Count,Photo Count,Elite 17,Review Date,Review,Rating,Rating Extracted,Restaurant Extracted,Restaurant Extracted
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,Jim D.,"Houston, TX",43,151,1,Elite ’17,9/6/17,"Okay, I confess... I'm not a barbecue aficionado. 
My overall rating is based on the total dining experience... the food, the decor, the atmosphere, the service and the special Texas hospitality that my family received when we ate here (I may also have been prejudiced by my daughter's opinion that Pizzitola's is the best barbecue in Houston). We ordered a variety of dishes, sides and drinks and everyone thought that it was great. The owner (Mr. P?) was there and he did regale us with some history of the establishment and the area. He is a charm.
P.S. I don't know where some of these reviewers are going because we spent $22/person which is less than a better known barbecue place that we visited during the same get-together here in Houston.","alt=""5.0 star rating""",5,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,Geo F.,"Houston, TX",0,3,,,8/30/17,"During one of the worst times in Houston or also one of the worst times of my life the flood evacuation and the third time evacuating 
just gets on your last nerve you go in this place you place an order their incredible 
they are truly what Houston spirit is all about and the two sixpacks of free stay calm beer made me laugh 
how cool are these folks thank you Lord for let me live in Texas and especially Houston and please look over this staff and great attitude this business is one of the stars over Texas
I
God bless all and keep us safe that's Texas and God bless the Texans","alt=""5.0 star rating""",5,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,Vlad V.,"The Heights, Houston, TX",183,595,156,Elite ’17,6/23/17,"Pizzitola's Bar-B-Cue has been around for a long time. They've been around far before the BBQ explosion happened in Houston. They're also at a great location in the Heights on Shepherd. I had dinner there on a Tuesday and was able to find a spot in their small lot. Pizzitola's looks like a country BBQ joint. No frills with a lot of memorabilia adorning the walls. 
Since I wasn't feeling any of the sides, they don't have fries, mac and cheese, or anything like that, I just went with the ribs. An order of ribs consists of three ribs with warm BBQ sauce, two slices of bread, and pickles. Not a big meal by any means so I'd recommend a combo which comes with two sides if you're hungry. Since my entree wasn't too much, I had the bread pudding for dessert. Everything overall was below average. Pizzitola's just can't hang with the BBQ heavyweights that have sprouted up around town. They're known for their ribs but I wasn't impressed. Service was good, the BBQ was just lacking compared to spots like Killen's or The Pit Room.","alt=""2.0 star rating""",2,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,travis l.,"Houston, TX",13,111,22,Elite ’17,11/2/17,"It was a real gully washer as my father in law might say last Saturday when wifey and I were cruising the heights for a place to eat. I had been to Pizzatola's many years in the past and remembered their ribs being on point. As we stepped out of the rain into the BBQ joint we were immediately welcomed by some awesome smokiness and one of the owners I believe his hame is Josh. My wife ordered the brisket with a double side of vegetables and I did the same but instead with the ribs. The ribs are classic dalmatian rub accented with an awesome ruby red smoke ring. They leave the silver skin on but it renders into the rib to a non chewy snap in your mouth consistency. The sauce is simple Texas style with a very balanced tomato and vinegar frofile. Nothing to ride home about but it started to grow on me throughout the meal. My wife's brisket was a good mix of lean and fatty cuts. It was cooked perfectly and really good, but not as good as the ribs. The highlight of the meal was when Josh came out and have us some ""on the house"" samples of their off the menu smoked turkey breast and sausage. The sausage was really good, reminded me of Kountry Boys on crack. The turkey was a game changer. It was perfectly seasoned and had a crust of thyme and other seasonings that really spoke to me on that rainy day. This is going to be something I splurge for on Thanksgiving this year. I will definitely go back to support a honest family business that treats their customers right!","alt=""4.0 star rating""",4,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,Juanita S.,"Spring, TX",39,100,159,Elite ’17,3/30/17,"Quick service. Food perfect. Ribs have to the best in Houston. They don't use heavy Bbq sauce to drown and cover up.
Some of the wait staff have been here for 25 years. 
Do order the small ribs as an appetizer. You will want more!","alt=""5.0 star rating""",5,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,Rod W.,"Houston, TX",0,41,,,2/5/17,"It is a shame to see this once-good BBQ icon fall to the level of Arby's.
Took my dad there for weekday lunch and it was awful.
The sausage was the only thing keeping the rating above zero stars. 
The service was friendly when they were around, although Mr. P was sitting right there.
The brisket was all flap, so it was 75% fat. The sauce had the viscosity of bayou water, and the rib meat was like eating a baseball glove.
The prices were obscenely high also 
With great BBQ joints like Roegels/ThePig, Luling, and Pappas; there is absolutely no reason to go to Pizzitola's ever again. Seems like we lost a little bit of Houston on this one.","alt=""1.0 star rating""",1,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,Craig J.,"Houston, TX",87,70,63,Elite ’17,7/26/17,"Had a networking lunch here for the first time this week. Full disclosure: this ranking has a caveat. I am from Memphis, TN which we consider to be the Mecca of all things BBQ. I give all Texas BBQ an automatic 3 star deduction because beef with onions and pickles isn't proper QUE....having said that, I give this place back one star for a solid 3! I got the pulled pork plate with slaw and grilled veggies. (On a diet so no tater salad). It wasn't Memphis quality by any means. The meat was too moist almost like it was cooked in a crock pot. But the flavor was there and the slaw was nice and creamy! (Of course I put that slaw on top of my pork and covered with sauce before eating it.) I told them I was from Memphis and it was my first visit so they gave me a free rib and slid of brisket. They were both good! I will give the rib thumbs up even though there wasn't any rub. Sauce was typical Texas sauce, which I don't prefer. But overall it's a good spot. I probably won't come back because I save my BBQ cravings for when I travel home. But if you aren't from Memphis and don't know any better, I highly recommend you give this place a try!","alt=""3.0 star rating""",3,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,Thomas S.,"Stafford, TX",19,646,917,,7/19/17,"An Houston BBQ institution serving non Central Texas style smoked meats. It may been a bright and shining star at one point in it's BBQ life, but no more. There are much better options at the same price points in the greater Houston area, Rudy's for example. Our party of three ordered the three meats special which consisted of pork ribs, white meat chicken slices, and pulled pork at $25. The friendly manager also gave us some briskets and sausages for free! We also ordered the three sides special at $8 which consisted of cole slaw, ranch beans, and potato salad. For desert we splitted the banana pudding. Let's get the sides out of the way, boring. The sides were no better than what you may get a HEB grocery store. The proteins came with three different types of BBQ sauce on the side, excellent idea. Out of the five meats, the pork ribs was the best. Pizzitola's is famous for it's pork ribs and it showed with perfect simple seasoning and moist meat. The worst was the chicken, it did not tasted like it ever been touch by any wood smoke. The rest of the meats were ok with the briskets being second best being moist and ok seasoned. The banana pudding was excellent, so country, so smooth, and so banana tasty. So one star was received due to the good pork ribs and pudding. The other two stars were from the excellent table service and old Texas country diner style decor of the place. The friendly manager recognized that we were not regular gave us some free foods to try which was very kind. The waitress was also very friendly and attentive. The waitress also gave us hot and moist cloths to clean ourselves which I think every BBQ shack should do. If we live in the Height, Pizzitola's is a acceptable option for BBQ ribs and briskets. But not for us since we live thirty plus miles away.","alt=""3.0 star rating""",3,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,Matt P.,"Georgetown, TX",0,11,,,1/9/17,"First things first, if a BBQ joint doesn't offer sweet tea, they will immediately lose a star in my review. That's like a sit-down Mexican restaurant not offering tequila. It's not a good sign. 
I had read about this place as a BBQ landmark in Houston for how long it had been in business and how great the ribs were so naturally I was intrigued. Upon entry I was greeted by a very friendly waitress/cashier/manager, for all I knew. She asked me if I was ready to taste the best ribs in my life. Skeptical yet very interested I ordered a rack with a few sides, and unfortunately a water. The ribs were fairly mediocre and the sides were above average. The water was great though!! I don't know what kind of spell this place has put Houstonians under for 30+ years but they need to spend more time in Austin with quality BBQ. I would recommend Papa Charlie's in EaDo instead.","alt=""2.0 star rating""",2,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
https://www.yelp.com/biz/pizzitolas-bar-b-cue-houston?start=0,J W.,"Earth, TX",1,61,55,,5/14/16,"So its 1:20pm on a Saturday afternoon and this place looks about as lively as funeral... Pretty pathetic scene tbh.. They had an awful live band playing, would've been better to play whatever was playing on the country music station. As for the food the quality, its pretty good. The prices are ridiculous though, for $7.95 you just get brisket sandwich. Any sides you want like potato salad I got start at $2.95!! I did get a sample of some really good sausage slices as a sample from a guy who I guess was the manager on duty...guy came to table like 3 times within 10 minutes... Super annoying.. Guy seemed so desperate to get my approval of the place... So sad. 
I normally don't leave such scathing reviews; but for a guy who's a professional chef and been working in the industry for over 5 years all I can say these guys need to revisit their menu prices and also get some new servers in there! My server had all the enthusiasm and friendliness of someone who was about to get a rectal exam.
This restaurant may have been in business since the late 30's but it's time for a fresh look at service practice, menu prices, and management style.","alt=""2.0 star rating""",2,pizzitolas-bar-b-cue-houston,pizzitolas-bar-b-cue-houst
