URL,Restaurant Extracted,User Name,User Location,Friend Count,Review Count,Photo Count,Elite 17,Review Date,Review,Rating,Rating Extracted,Restaurant Extracted,Restaurant Extracted
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Jeff C.,"Alexandria, VA",73,128,118,,10/10/17,"I just had to update my review. While the last one was excellent, I believe that now the restaurant is even better. 
Upon arrival, I was offered the choice of tables and was provided exceptional service by everyone, especially Amalia. 
The lunch menu offers a great selection of delicious choices at reasonable prices. I, of course, ordered the famous fried shrimp and took advantage of the crab ball special offered through Yelp. When I say everything was great, I mean everything. 
Although I would recommend substituting the French fries. While the onion rings are still excellent, a baked potato would be better than fries. If the fries were fresh cut and fried in only one fryer with peanut oil, who knows what compliments would flow? The current frozen ones simply do not match the caliber of the other items and have a muddled seafood after taste. 
Aside from this, I highly recommend the restaurant for outstanding seafood, superior service, and a very relaxing atmosphere. Treat yourself or someone special to a wonderful dining experience. What are you waiting for?
Christie's and great seafood are bayou city staples. From the front door, you are greeted by friendly staff, a beautiful bar, and a combination of family and subtle mid-century elegance. The dining room is comfortable with reflections of various fishing conquests. As a diner of Christie's for decades I chose to celebrate my parent's 50 th anniversary and my wife's birthday with a quiet dinner at this special place. I was pleasantly surprised by the Yelp Check- in appetizer as well as their participation in the Taste of Houston promotion. Service was good, but not perfect. A tea glass should never go empty and stay empty for more than 10 minutes- especially when it is the great tea served here. But in true fashion, once this was corrected, it never occurred again. The salad with blue cheese dressing was underwhelming. The portion was small and the blue cheese dressing did not contain numerous large chunks of blue cheese as expected. The croutons, however, were fresh and plentiful. The seafood always tastes fresh. We love the fried shrimp. They did not disappoint. The shrimp are always large, succulent, well breaded, and fried to perfection. This is the main reason we have driven 25 miles to Christie's decade after decade. The ""tarter sauce"" is a creamy garlic condiment that defies description. It is delicious all by itself. Whether the fish, shrimp, or crab; we enjoyed them all. A small disappointment was the baked potato. It was different than those in past years. The potato had a soft skin and the fillings were already placed inside. In the past, the potato had a thicker skin and it was wrapped in foil. The fillings were served in a type of rotary stainless buffet as well. All in all, with improvements in a different potato and presentation coupled with more attentive service, Christie's will still maintain a special place in our hearts. This should definitely be a regular monthly or weekly dining experience for you and your family.","alt=""5.0 star rating""",5,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Jen S.,"Houston, TX",51,53,404,,6/8/17,"The Salmon Royale was amazing! Fresh, moist, blackened with just the right amount of flavor and finished with a cream sauce. Topped with mushrooms and shrimp - man this was AMAZING. And the lunch portion was accompanied with dirty rice and a salad all for only $16. Just fantastic. 
The service was professional and polite, although just a little slow. Only reason I rated 4 instead of 5 stars. 
I can't wait to come back and try more menu items. Great seafood on Westheimer.","alt=""4.0 star rating""",4,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Keith W.,"Austin, TX",1,69,12,,5/31/17,"My wife turned me on to Christie's. 
We come here as often as we can.
They absolutely have the BEST fried shrimp I've ever eaten. I'm a picky eater who also knows how to cook. So when I give a compliment, it means something.
My hats off to the chef and staff. It's always consistent and incredible.
EVERY single dish that we've ordered over the last 25 years has been amazing!
Maria and family deserve a plaque from the city of Houston. That's all :)))","alt=""5.0 star rating""",5,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Mark B.,"Houston, TX",413,302,2103,Elite ’17,1/15/17,"I have passed by this restaurant 1000's of times and have always been curious about it. They have been around since 1917 so they must be doing something right. 
It was a Sunday afternoon around 1:30, there were plenty of open tables. We must have just missed the church rush. 
I checked in on Yelp as soon as we were seated and I am glad I did because we received a free order of fried crab balls! 
I ordered the fried shrimp, it came with a garden salad, two onion rings, baked or au gratin potatoes. Everything tasted really fresh and delicious.","alt=""4.0 star rating""",4,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Matt S.,"Richmond, TX",45,284,1,Elite ’17,8/13/17,Had a great family dinner here. Wife and I with our parents. Had the gumbo which was good and tasted fresh. I decided to go stuffed crab and they were delicious. My wife had shrimp which was also fresh. I must say that they still do it good here at Christies.,"alt=""4.0 star rating""",4,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Megan B.,"Cypress, TX",91,12,2,,10/14/17,"I love the fact that a Houstian owns this restaurant which is why we had a date night here. The crab fingers, salad, shrimp and ranch was great. Wasn't a fan of the au grat potatoes. Very clean restaurant and fantastic staff. Our drinks were never empty.","alt=""4.0 star rating""",4,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Giuseppe T.,"Houston, TX",0,15,,,11/12/17,"This restaurant puzzles me, the food quality is apalling, inside looks like the 60s, but is still going. I went to see if a nice surprise would come out of it but it didnt, i guess die hard fans keep the business going.","alt=""1.0 star rating""",1,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Emily D.,"Galveston, TX",107,64,51,,5/2/17,"I decided on this place for my birthday dinner because I love the Roula & Ryan show and wanted to pay Roula's family (who owns the restaurant) homage. This is definitely a ""Houston classic"", one of those places you can rely on to continually deliver the same recipes time and again. I would recommend ordering something that they are ""known for"", such as their fried shrimp, which were delicious. The bread is great - hot and soft on the inside and crisp on the outside. The side of green beans was nothing to write home about, however. I was pleasantly surprised that they brought an ice cream sundae for my birthday dessert - many restaurants have stopped doing this nowadays.","alt=""4.0 star rating""",4,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Anhaar A.,"Westside, Houston, TX",0,2,,,9/1/17,"Best customer service! Great ambience. It was on a spur that we decided to try this restaurant. The Manager was very courteous and as we informed her that we have a special diet she immediately said they will accommodate our needs. We were served by Christina who was all smiles and ensured we had a good experience. We especially didn't want any alcohol in our meals and she advised us accordingly which ones to avoid. 
The food was good. Even my picky toddler ate the fried calamari and fried shrimps. We had salmon and the Shrimp Oyster Greek. 
Definitely will come again!","alt=""4.0 star rating""",4,christies-seafood-and-steaks-houston,christies-seafood-and-stea
https://www.yelp.com/biz/christies-seafood-and-steaks-houston?start=0,christies-seafood-and-steaks-houston,Bob B.,"San Antonio, TX",1,58,,,7/21/17,"Famous fried shrimp dinners are not as good (or as large and fresh) as the former Christies locations in San Antonio or Austin. I remember when a four or five piece shrimp dinner with wedge salad and a baked potato were more than filling and cost about $4.95 on Broadway across from Brackenridge Park in SA and Town Lake in Austin.
The 1000 island salad dressing, tartar sauce and remoulade sauces aren't as good either. 
It's weird that the oldest location is also the worst and has stayed open the longest?
Dinner prices are about triple what they were back in the 70s and 80s too so not much of a good value either. Lots of really old white people driving Buicks here too.","alt=""2.0 star rating""",2,christies-seafood-and-steaks-houston,christies-seafood-and-stea
